Unit,Survey1,Survey2,Survey3,Survey4,Habitat Type,Depth
1,0,0,0,1,B,8.53
2,0,0,1,1,A,10.67
3,1,1,0,1,C,12.42
4,0,0,0,0,B,8.53
5,0,0,0,0,B,8.77
6,0,0,0,0,A,11.82
7,0,0,0,0,C,7.66
8,0,0,0,1,C,11.87
9,0,0,0,0,C,8.15
10,0,0,1,0,B,8.4
11,0,0,0,0,B,10.75
12,0,0,0,0,B,11.15
13,0,0,0,0,B,8.57
14,0,1,0,1,B,6.15
15,0,0,1,0,B,7.21
16,0,0,0,0,A,8.95
17,1,1,1,0,A,10.12
18,0,0,1,0,B,11.4
19,0,0,0,0,A,6.51
20,0,0,0,0,B,12.21
21,0,1,0,0,B,13.32
22,0,1,0,1,C,10.66
23,0,0,0,0,B,10.44
24,0,0,0,0,B,7.73
25,0,1,1,0,B,11.8
26,1,0,0,1,B,13.58
27,1,0,0,0,C,12.19
28,1,1,1,0,C,12.18
29,0,0,0,0,B,11.39
30,0,0,0,0,B,8.85
31,0,0,0,0,C,6.76
32,1,1,0,0,C,10.54
33,0,0,0,0,B,8.3
34,0,0,0,0,A,6.23
35,1,0,1,1,A,13.98
36,0,0,0,1,C,8.81
37,0,0,0,0,B,7.02
38,1,0,0,1,C,11.29
39,0,0,0,0,B,6.51
40,0,0,0,0,B,7.59
41,0,1,1,0,B,10.46
42,1,0,0,1,B,8.97
43,0,0,0,0,A,9.7
44,0,0,1,1,B,10.29
45,0,0,0,0,B,11.84
46,0,0,0,0,A,12.03
47,0,0,0,0,A,9.44
48,0,0,0,0,B,12.43
49,0,0,0,1,C,13.74
50,0,0,0,0,B,6.11
51,0,0,0,0,A,10.11
52,0,0,0,0,A,8.76
53,1,0,0,1,C,6.71
54,0,0,0,0,C,6.57
55,0,0,0,0,B,6.07
56,0,0,0,0,B,10.62
57,0,0,0,0,B,9.85
58,0,0,0,0,B,12.89
59,0,0,0,0,B,11.2
60,1,1,1,1,B,12.39
61,0,0,0,0,B,6.22
62,0,0,0,0,B,9.29
63,0,0,0,0,B,12.62
64,0,0,1,0,B,9.38
65,0,0,0,0,C,8.11
66,0,1,1,1,B,11.99
67,1,0,1,1,C,11.49
68,1,1,0,1,C,12.88
69,1,1,1,1,B,7.63
70,0,0,0,0,A,11.15
71,0,1,0,0,B,12.17
72,0,0,1,0,A,10.55
73,0,1,0,0,C,11.71
74,1,0,0,1,A,9.91
75,1,1,1,1,B,10.71
76,1,1,1,1,B,8.25
77,0,0,0,1,B,9.37
78,0,0,0,0,A,10.04
79,0,0,0,1,C,6.22
80,0,0,0,0,A,10.79
81,0,0,0,0,C,6.58
82,0,1,1,0,A,13.74
83,0,0,0,0,A,6.7
84,0,0,1,0,A,10.08
85,0,0,0,0,B,11.64
86,0,1,1,0,B,13.47
87,0,0,0,0,C,10.47
88,0,0,0,0,C,6.21
89,0,1,1,1,C,13.43
90,0,1,0,1,C,9.14
91,0,0,0,0,B,8.45
92,0,1,1,1,C,11.26
93,0,0,0,0,B,10.06
94,0,0,0,0,B,9.23
95,0,0,0,0,B,7.45
96,0,0,0,0,B,11.79
97,0,0,0,0,A,7.25
98,0,0,1,1,B,13.32
99,0,0,0,0,C,7.16
100,0,0,0,0,A,6.56
101,0,1,0,0,B,11.35
102,0,0,0,0,A,9.98
103,0,0,0,0,B,10.55
104,0,0,1,0,B,9.59
105,0,0,0,0,B,7.81
106,0,0,0,1,B,12.3
107,0,0,0,0,B,11.67
108,0,0,0,0,B,11.6
109,0,0,0,0,A,13.98
110,0,0,0,0,B,11.95
111,0,1,1,0,C,13.5
112,0,0,0,0,B,7.32
113,0,1,0,0,B,12.75
114,0,0,0,0,A,7.55
115,0,0,0,0,B,8.65
116,1,1,1,0,C,13.02
117,0,0,0,0,A,8.08
118,0,0,0,0,A,8.25
119,0,0,0,0,B,8.71
120,0,0,0,0,B,12.91
121,0,0,0,0,A,7.75
122,1,1,0,0,C,12.07
123,0,0,0,0,A,13.95
124,0,0,0,0,B,7.06
125,0,0,0,0,B,6.6
126,0,0,0,0,B,7.58
127,0,0,0,0,B,11.09
128,0,0,0,0,B,7.64
129,0,0,0,0,B,6.18
130,0,0,0,1,C,11.99
131,0,0,0,0,C,7.38
132,0,0,0,0,C,6.09
133,1,1,1,1,B,10.17
134,0,0,0,0,B,7.25
135,0,0,0,1,C,12.02
136,0,0,0,0,B,9.63
137,0,0,0,0,A,7.49
138,1,1,1,0,C,13.85
139,0,1,0,1,A,13.52
140,0,0,0,0,B,11.64
141,0,1,0,1,C,12.49
142,0,0,1,0,B,12.44
143,0,0,0,0,B,6.63
144,0,1,0,1,B,11.7
145,0,0,0,0,B,9.33
146,0,0,0,0,B,7.22
147,0,0,0,0,B,13.81
148,0,0,0,0,A,11.76
